"","div_index","habitat","num_sign","factor","avg_f","sd_f","avg_pval","sd_pval","avg_r2","sd_r2"
"1","taxo_q0","Fish",100,"region",19.8825551938654,5.47574486745306,0,1.74001433152233e-05,0.348881009254162,0.0470545017670843
"2","taxo_q0","Fish",28,"season",3.18917148983273,2.27433816373834,0.153,0.156790855273983,0.348881009254162,0.0470545017670843
"3","taxo_q0","Fish",97,"region:season",6.86991702557052,2.63868447160277,0.0085,0.0147868537153921,0.348881009254162,0.0470545017670843
"4","taxo_q0","Sediment",100,"region",26.267575421448,5.88122624483969,4e-04,0.000309612886173584,0.696427986426158,0.0501195170990394
"5","taxo_q0","Sediment",98,"season",10.3164233538258,3.87670438048492,0.0134,0.0126954843734485,0.696427986426158,0.0501195170990394
"6","taxo_q0","Sediment",7,"region:season",2.28875426629737,1.39016914371038,0.2087,0.133489543780626,0.696427986426158,0.0501195170990394
"7","taxo_q0","Turf",82,"region",11.0425782035873,7.94752332888986,0.0298,0.0355066804998921,0.667817287341888,0.18170206735206
"8","taxo_q0","Turf",9,"season",2.44173878875103,3.06212278655094,0.345,0.26436791419526,0.667817287341888,0.18170206735206
"9","taxo_q0","Turf",46,"region:season",8.21803673612267,9.41945758134483,0.1264,0.163192317952199,0.667817287341888,0.18170206735206
"10","taxo_q0","Water",100,"region",16.0599480793408,2.74612181697765,1e-04,8.05429548628481e-05,0.537804862142557,0.0418014547839383
"11","taxo_q0","Water",26,"season",3.62200110293264,2.96891223728111,0.1457,0.141211516062501,0.537804862142557,0.0418014547839383
"12","taxo_q0","Water",10,"region:season",2.51116236627335,1.6264884854983,0.1907,0.15643283057786,0.537804862142557,0.0418014547839383
"13","taxo_q1","Fish",100,"region",16.9020578236143,5.13020031388724,0,7.87778174849858e-05,0.294846216986056,0.0572166697697124
"14","taxo_q1","Fish",17,"season",2.19206726054078,2.00887698592126,0.2803,0.245150560838434,0.294846216986056,0.0572166697697124
"15","taxo_q1","Fish",67,"region:season",4.84170419377831,2.37650014788709,0.0382,0.055646941074379,0.294846216986056,0.0572166697697124
"16","taxo_q1","Sediment",100,"region",26.2661851804783,6.49835465086277,4e-04,0.000407586760164326,0.701753391452158,0.0483369292522255
"17","taxo_q1","Sediment",98,"season",10.424970160597,3.60989047600645,0.0127,0.0154290765868438,0.701753391452158,0.0483369292522255
"18","taxo_q1","Sediment",13,"region:season",3.00328777136411,1.83685103454305,0.1591,0.117454923774515,0.701753391452158,0.0483369292522255
"19","taxo_q1","Turf",55,"region",8.33831271284148,7.51938640388311,0.0621,0.0666331574403193,0.530474299782062,0.247655996002636
"20","taxo_q1","Turf",8,"season",2.46705742200457,3.03682337524976,0.2983,0.222809627548798,0.530474299782062,0.247655996002636
"21","taxo_q1","Turf",34,"region:season",4.97938794028936,7.15995354829595,0.3345,0.314779077236761,0.530474299782062,0.247655996002636
"22","taxo_q1","Water",100,"region",26.0167838595671,5.60230813936503,0,2.91248788667931e-06,0.643933130864543,0.047664774269776
"23","taxo_q1","Water",38,"season",4.17505781893721,4.22582292951927,0.1805,0.199992879725337,0.643933130864543,0.047664774269776
"24","taxo_q1","Water",10,"region:season",1.94572532254723,1.57648827358696,0.2741,0.204650007343877,0.643933130864543,0.047664774269776
