"","div_index","habitat","num_sign","avg_stat","sd_stat","avg_pval","sd_pval"
"1","taxo_q0","Algae",18,35.79,13.1435700760271,0.3664459427882,0.31938567597259
"2","taxo_q0","Fish",100,27.0145994396882,4.10167496187933,6.07195598788178e-06,1.05943388821684e-05
"3","taxo_q0","Sediment",100,10.82,2.06157731121125,0.00063161296907427,0.000456771030664921
"4","taxo_q0","Turf",93,8.74058479532164,1.79182597503119,0.0204985933246046,0.0303531755852736
"5","taxo_q0","Water",100,9.39987321058964,1.26414212598125,0.0111524550233551,0.00785261366672779
"6","taxo_q1","Algae",19,34.25,11.6899119074542,0.342222390612484,0.301015275246775
"7","taxo_q1","Fish",100,26.8533484883941,3.32701802562823,4.60365826119213e-06,8.52677371456866e-06
"8","taxo_q1","Sediment",100,9.78,1.73833776402004,0.000427822951042766,0.00028645481597328
"9","taxo_q1","Turf",95,9.30561403508772,1.68947894409082,0.0138688823138342,0.0143432383280036
"10","taxo_q1","Water",100,12.7970760233918,0.98533283334461,0.00187350876131864,0.000950073317521961
