"","sample_type_3","region","season","avg","sd","min","max","index"
"1","Siganus_luridus","North_Red_Sea","Autumn",18.6530309033813,1.63470413753371,17.5038642205886,20.5244641083468,"phylo_q0"
"2","Siganus_luridus","North_Red_Sea","Spring",23.7383986751005,6.4348374450179,16.9068738995123,34.3000186437333,"phylo_q0"
"3","Siganus_luridus","Northern_Crete","Autumn",26.1849555265499,5.97376463801918,19.2237321083677,41.4255412828774,"phylo_q0"
"4","Siganus_luridus","Northern_Crete","Spring",22.1144392842979,2.67076786617388,18.9423816308536,28.5491766068998,"phylo_q0"
"5","Siganus_luridus","North_Red_Sea","Autumn",6.29578794642764,2.07522267535335,4.53078232543524,8.58189879362769,"phylo_q1"
"6","Siganus_luridus","North_Red_Sea","Spring",7.39025986667019,0.908074065768471,6.15196831197278,8.34691546631461,"phylo_q1"
"7","Siganus_luridus","Northern_Crete","Autumn",5.22965456076565,2.62490705971641,2.17403099970047,10.0492787264696,"phylo_q1"
"8","Siganus_luridus","Northern_Crete","Spring",5.14704491568019,1.20857309601528,3.541001194449,7.06542524777595,"phylo_q1"
"9","Siganus_luridus","North_Red_Sea","Autumn",85.6666666666667,3.21455025366432,82,88,"taxo_q0"
"10","Siganus_luridus","North_Red_Sea","Spring",128.428571428571,52.2840228714188,75,204,"taxo_q0"
"11","Siganus_luridus","Northern_Crete","Autumn",143.909090909091,41.5510638743572,103,251,"taxo_q0"
"12","Siganus_luridus","Northern_Crete","Spring",125.454545454545,15.6356236611376,103,159,"taxo_q0"
"13","Siganus_luridus","North_Red_Sea","Autumn",51.4725363052264,11.5942249300847,38.9489036333566,61.8325254357679,"taxo_q1"
"14","Siganus_luridus","North_Red_Sea","Spring",66.9990953321949,30.5755095209918,42.3518248943903,117.781363037906,"taxo_q1"
"15","Siganus_luridus","Northern_Crete","Autumn",65.2680093420869,38.7364679607733,20.5130965142799,149.994011648432,"taxo_q1"
"16","Siganus_luridus","Northern_Crete","Spring",69.3615974887904,11.1722367130695,57.9004683831501,89.669847235605,"taxo_q1"
"17","Siganus_rivulatus","North_Red_Sea","Autumn",24.1991272059629,7.5613140706103,12.8615599392541,43.6610858093168,"phylo_q0"
"18","Siganus_rivulatus","North_Red_Sea","Spring",37.7427738980119,5.05145604442421,30.1895891338175,48.9454696841488,"phylo_q0"
"19","Siganus_rivulatus","Levantine_Sea","Autumn",35.5098954479622,7.01386517540102,12.9662288745795,47.2501189965167,"phylo_q0"
"20","Siganus_rivulatus","Levantine_Sea","Spring",40.2347629707098,7.67047655818068,22.2015800513615,55.1094730170693,"phylo_q0"
"21","Siganus_rivulatus","Northern_Crete","Autumn",45.1886876495155,4.94614434919922,32.3837935129072,54.4827565980225,"phylo_q0"
"22","Siganus_rivulatus","Northern_Crete","Spring",41.1419259395475,8.06775794672466,16.6012073212184,51.0478671524496,"phylo_q0"
"23","Siganus_rivulatus","North_Red_Sea","Autumn",4.84832534661209,2.1696550428119,1.99878147567868,10.4379558176811,"phylo_q1"
"24","Siganus_rivulatus","North_Red_Sea","Spring",7.90209281591087,1.16882823811412,6.55602247517947,10.1222381071037,"phylo_q1"
"25","Siganus_rivulatus","Levantine_Sea","Autumn",8.29880459403307,1.72671355753313,3.58191871654571,11.3917332566088,"phylo_q1"
"26","Siganus_rivulatus","Levantine_Sea","Spring",8.83945075373508,1.34259512975268,3.76078492079805,10.5028389872378,"phylo_q1"
"27","Siganus_rivulatus","Northern_Crete","Autumn",7.37878187895518,1.21005923031208,5.22928307149461,9.80913115885295,"phylo_q1"
"28","Siganus_rivulatus","Northern_Crete","Spring",7.01694380914011,1.68273236615425,4.23733716305214,12.0308808804166,"phylo_q1"
"29","Siganus_rivulatus","North_Red_Sea","Autumn",158.6875,52.89703047746,70,266,"taxo_q0"
"30","Siganus_rivulatus","North_Red_Sea","Spring",243.388888888889,48.7323287898398,179,361,"taxo_q0"
"31","Siganus_rivulatus","Levantine_Sea","Autumn",218.411764705882,52.6415458828973,71,317,"taxo_q0"
"32","Siganus_rivulatus","Levantine_Sea","Spring",261.826086956522,65.5575057584166,117,380,"taxo_q0"
"33","Siganus_rivulatus","Northern_Crete","Autumn",307,42.1129433784911,208,393,"taxo_q0"
"34","Siganus_rivulatus","Northern_Crete","Spring",274.576923076923,62.4058799004857,95,356,"taxo_q0"
"35","Siganus_rivulatus","North_Red_Sea","Autumn",84.0256277378671,38.9374031483153,26.9509834905259,184.642225735477,"taxo_q1"
"36","Siganus_rivulatus","North_Red_Sea","Spring",142.881760602977,36.0613198238574,92.1889846844694,212.444072725927,"taxo_q1"
"37","Siganus_rivulatus","Levantine_Sea","Autumn",146.579001250078,38.6922356217876,47.5401521536319,201.768873232738,"taxo_q1"
"38","Siganus_rivulatus","Levantine_Sea","Spring",165.163068523811,45.2995508781101,46.7142265425116,242.901377162068,"taxo_q1"
"39","Siganus_rivulatus","Northern_Crete","Autumn",182.670930456404,46.6664261932666,90.1776896016675,285.413751375341,"taxo_q1"
"40","Siganus_rivulatus","Northern_Crete","Spring",162.515014047204,48.2774829424835,39.5807879969873,241.677919513869,"taxo_q1"
